Date,Year,Quarter,Month,Month_Name,Weekday,Week_Number
2022-01-01,2022,1,1,January,Saturday,52
2022-01-02,2022,1,1,January,Sunday,52
2022-01-03,2022,1,1,January,Monday,1
2022-01-04,2022,1,1,January,Tuesday,1
2022-01-05,2022,1,1,January,Wednesday,1
2022-01-06,2022,1,1,January,Thursday,1
2022-01-07,2022,1,1,January,Friday,1
2022-01-08,2022,1,1,January,Saturday,1
2022-01-09,2022,1,1,January,Sunday,1
2022-01-10,2022,1,1,January,Monday,2
2022-01-11,2022,1,1,January,Tuesday,2
2022-01-12,2022,1,1,January,Wednesday,2
2022-01-13,2022,1,1,January,Thursday,2
2022-01-14,2022,1,1,January,Friday,2
2022-01-15,2022,1,1,January,Saturday,2
2022-01-16,2022,1,1,January,Sunday,2
2022-01-17,2022,1,1,January,Monday,3
2022-01-18,2022,1,1,January,Tuesday,3
2022-01-19,2022,1,1,January,Wednesday,3
2022-01-20,2022,1,1,January,Thursday,3
2022-01-21,2022,1,1,January,Friday,3
2022-01-22,2022,1,1,January,Saturday,3
2022-01-23,2022,1,1,January,Sunday,3
2022-01-24,2022,1,1,January,Monday,4
2022-01-25,2022,1,1,January,Tuesday,4
2022-01-26,2022,1,1,January,Wednesday,4
2022-01-27,2022,1,1,January,Thursday,4
2022-01-28,2022,1,1,January,Friday,4
2022-01-29,2022,1,1,January,Saturday,4
2022-01-30,2022,1,1,January,Sunday,4
2022-01-31,2022,1,1,January,Monday,5
2022-02-01,2022,1,2,February,Tuesday,5
2022-02-02,2022,1,2,February,Wednesday,5
2022-02-03,2022,1,2,February,Thursday,5
2022-02-04,2022,1,2,February,Friday,5
2022-02-05,2022,1,2,February,Saturday,5
2022-02-06,2022,1,2,February,Sunday,5
2022-02-07,2022,1,2,February,Monday,6
2022-02-08,2022,1,2,February,Tuesday,6
2022-02-09,2022,1,2,February,Wednesday,6
2022-02-10,2022,1,2,February,Thursday,6
2022-02-11,2022,1,2,February,Friday,6
2022-02-12,2022,1,2,February,Saturday,6
2022-02-13,2022,1,2,February,Sunday,6
2022-02-14,2022,1,2,February,Monday,7
2022-02-15,2022,1,2,February,Tuesday,7
2022-02-16,2022,1,2,February,Wednesday,7
2022-02-17,2022,1,2,February,Thursday,7
2022-02-18,2022,1,2,February,Friday,7
2022-02-19,2022,1,2,February,Saturday,7
2022-02-20,2022,1,2,February,Sunday,7
2022-02-21,2022,1,2,February,Monday,8
2022-02-22,2022,1,2,February,Tuesday,8
2022-02-23,2022,1,2,February,Wednesday,8
2022-02-24,2022,1,2,February,Thursday,8
2022-02-25,2022,1,2,February,Friday,8
2022-02-26,2022,1,2,February,Saturday,8
2022-02-27,2022,1,2,February,Sunday,8
2022-02-28,2022,1,2,February,Monday,9
2022-03-01,2022,1,3,March,Tuesday,9
2022-03-02,2022,1,3,March,Wednesday,9
2022-03-03,2022,1,3,March,Thursday,9
2022-03-04,2022,1,3,March,Friday,9
2022-03-05,2022,1,3,March,Saturday,9
2022-03-06,2022,1,3,March,Sunday,9
2022-03-07,2022,1,3,March,Monday,10
2022-03-08,2022,1,3,March,Tuesday,10
2022-03-09,2022,1,3,March,Wednesday,10
2022-03-10,2022,1,3,March,Thursday,10
2022-03-11,2022,1,3,March,Friday,10
2022-03-12,2022,1,3,March,Saturday,10
2022-03-13,2022,1,3,March,Sunday,10
2022-03-14,2022,1,3,March,Monday,11
2022-03-15,2022,1,3,March,Tuesday,11
2022-03-16,2022,1,3,March,Wednesday,11
2022-03-17,2022,1,3,March,Thursday,11
2022-03-18,2022,1,3,March,Friday,11
2022-03-19,2022,1,3,March,Saturday,11
2022-03-20,2022,1,3,March,Sunday,11
2022-03-21,2022,1,3,March,Monday,12
2022-03-22,2022,1,3,March,Tuesday,12
2022-03-23,2022,1,3,March,Wednesday,12
2022-03-24,2022,1,3,March,Thursday,12
2022-03-25,2022,1,3,March,Friday,12
2022-03-26,2022,1,3,March,Saturday,12
2022-03-27,2022,1,3,March,Sunday,12
2022-03-28,2022,1,3,March,Monday,13
2022-03-29,2022,1,3,March,Tuesday,13
2022-03-30,2022,1,3,March,Wednesday,13
2022-03-31,2022,1,3,March,Thursday,13
2022-04-01,2022,2,4,April,Friday,13
2022-04-02,2022,2,4,April,Saturday,13
2022-04-03,2022,2,4,April,Sunday,13
2022-04-04,2022,2,4,April,Monday,14
2022-04-05,2022,2,4,April,Tuesday,14
2022-04-06,2022,2,4,April,Wednesday,14
2022-04-07,2022,2,4,April,Thursday,14
2022-04-08,2022,2,4,April,Friday,14
2022-04-09,2022,2,4,April,Saturday,14
2022-04-10,2022,2,4,April,Sunday,14
2022-04-11,2022,2,4,April,Monday,15
2022-04-12,2022,2,4,April,Tuesday,15
2022-04-13,2022,2,4,April,Wednesday,15
2022-04-14,2022,2,4,April,Thursday,15
2022-04-15,2022,2,4,April,Friday,15
2022-04-16,2022,2,4,April,Saturday,15
2022-04-17,2022,2,4,April,Sunday,15
2022-04-18,2022,2,4,April,Monday,16
2022-04-19,2022,2,4,April,Tuesday,16
2022-04-20,2022,2,4,April,Wednesday,16
2022-04-21,2022,2,4,April,Thursday,16
2022-04-22,2022,2,4,April,Friday,16
2022-04-23,2022,2,4,April,Saturday,16
2022-04-24,2022,2,4,April,Sunday,16
2022-04-25,2022,2,4,April,Monday,17
2022-04-26,2022,2,4,April,Tuesday,17
2022-04-27,2022,2,4,April,Wednesday,17
2022-04-28,2022,2,4,April,Thursday,17
2022-04-29,2022,2,4,April,Friday,17
2022-04-30,2022,2,4,April,Saturday,17
2022-05-01,2022,2,5,May,Sunday,17
2022-05-02,2022,2,5,May,Monday,18
2022-05-03,2022,2,5,May,Tuesday,18
2022-05-04,2022,2,5,May,Wednesday,18
2022-05-05,2022,2,5,May,Thursday,18
2022-05-06,2022,2,5,May,Friday,18
2022-05-07,2022,2,5,May,Saturday,18
2022-05-08,2022,2,5,May,Sunday,18
2022-05-09,2022,2,5,May,Monday,19
2022-05-10,2022,2,5,May,Tuesday,19
2022-05-11,2022,2,5,May,Wednesday,19
2022-05-12,2022,2,5,May,Thursday,19
2022-05-13,2022,2,5,May,Friday,19
2022-05-14,2022,2,5,May,Saturday,19
2022-05-15,2022,2,5,May,Sunday,19
2022-05-16,2022,2,5,May,Monday,20
2022-05-17,2022,2,5,May,Tuesday,20
2022-05-18,2022,2,5,May,Wednesday,20
2022-05-19,2022,2,5,May,Thursday,20
2022-05-20,2022,2,5,May,Friday,20
2022-05-21,2022,2,5,May,Saturday,20
2022-05-22,2022,2,5,May,Sunday,20
2022-05-23,2022,2,5,May,Monday,21
2022-05-24,2022,2,5,May,Tuesday,21
2022-05-25,2022,2,5,May,Wednesday,21
2022-05-26,2022,2,5,May,Thursday,21
2022-05-27,2022,2,5,May,Friday,21
2022-05-28,2022,2,5,May,Saturday,21
2022-05-29,2022,2,5,May,Sunday,21
2022-05-30,2022,2,5,May,Monday,22
2022-05-31,2022,2,5,May,Tuesday,22
2022-06-01,2022,2,6,June,Wednesday,22
2022-06-02,2022,2,6,June,Thursday,22
2022-06-03,2022,2,6,June,Friday,22
2022-06-04,2022,2,6,June,Saturday,22
2022-06-05,2022,2,6,June,Sunday,22
2022-06-06,2022,2,6,June,Monday,23
2022-06-07,2022,2,6,June,Tuesday,23
2022-06-08,2022,2,6,June,Wednesday,23
2022-06-09,2022,2,6,June,Thursday,23
2022-06-10,2022,2,6,June,Friday,23
2022-06-11,2022,2,6,June,Saturday,23
2022-06-12,2022,2,6,June,Sunday,23
2022-06-13,2022,2,6,June,Monday,24
2022-06-14,2022,2,6,June,Tuesday,24
2022-06-15,2022,2,6,June,Wednesday,24
2022-06-16,2022,2,6,June,Thursday,24
2022-06-17,2022,2,6,June,Friday,24
2022-06-18,2022,2,6,June,Saturday,24
2022-06-19,2022,2,6,June,Sunday,24
2022-06-20,2022,2,6,June,Monday,25
2022-06-21,2022,2,6,June,Tuesday,25
2022-06-22,2022,2,6,June,Wednesday,25
2022-06-23,2022,2,6,June,Thursday,25
2022-06-24,2022,2,6,June,Friday,25
2022-06-25,2022,2,6,June,Saturday,25
2022-06-26,2022,2,6,June,Sunday,25
2022-06-27,2022,2,6,June,Monday,26
2022-06-28,2022,2,6,June,Tuesday,26
2022-06-29,2022,2,6,June,Wednesday,26
2022-06-30,2022,2,6,June,Thursday,26
2022-07-01,2022,3,7,July,Friday,26
2022-07-02,2022,3,7,July,Saturday,26
2022-07-03,2022,3,7,July,Sunday,26
2022-07-04,2022,3,7,July,Monday,27
2022-07-05,2022,3,7,July,Tuesday,27
2022-07-06,2022,3,7,July,Wednesday,27
2022-07-07,2022,3,7,July,Thursday,27
2022-07-08,2022,3,7,July,Friday,27
2022-07-09,2022,3,7,July,Saturday,27
2022-07-10,2022,3,7,July,Sunday,27
2022-07-11,2022,3,7,July,Monday,28
2022-07-12,2022,3,7,July,Tuesday,28
2022-07-13,2022,3,7,July,Wednesday,28
2022-07-14,2022,3,7,July,Thursday,28
2022-07-15,2022,3,7,July,Friday,28
2022-07-16,2022,3,7,July,Saturday,28
2022-07-17,2022,3,7,July,Sunday,28
2022-07-18,2022,3,7,July,Monday,29
2022-07-19,2022,3,7,July,Tuesday,29
2022-07-20,2022,3,7,July,Wednesday,29
2022-07-21,2022,3,7,July,Thursday,29
2022-07-22,2022,3,7,July,Friday,29
2022-07-23,2022,3,7,July,Saturday,29
2022-07-24,2022,3,7,July,Sunday,29
2022-07-25,2022,3,7,July,Monday,30
2022-07-26,2022,3,7,July,Tuesday,30
2022-07-27,2022,3,7,July,Wednesday,30
2022-07-28,2022,3,7,July,Thursday,30
2022-07-29,2022,3,7,July,Friday,30
2022-07-30,2022,3,7,July,Saturday,30
2022-07-31,2022,3,7,July,Sunday,30
2022-08-01,2022,3,8,August,Monday,31
2022-08-02,2022,3,8,August,Tuesday,31
2022-08-03,2022,3,8,August,Wednesday,31
2022-08-04,2022,3,8,August,Thursday,31
2022-08-05,2022,3,8,August,Friday,31
2022-08-06,2022,3,8,August,Saturday,31
2022-08-07,2022,3,8,August,Sunday,31
2022-08-08,2022,3,8,August,Monday,32
2022-08-09,2022,3,8,August,Tuesday,32
2022-08-10,2022,3,8,August,Wednesday,32
2022-08-11,2022,3,8,August,Thursday,32
2022-08-12,2022,3,8,August,Friday,32
2022-08-13,2022,3,8,August,Saturday,32
2022-08-14,2022,3,8,August,Sunday,32
2022-08-15,2022,3,8,August,Monday,33
2022-08-16,2022,3,8,August,Tuesday,33
2022-08-17,2022,3,8,August,Wednesday,33
2022-08-18,2022,3,8,August,Thursday,33
2022-08-19,2022,3,8,August,Friday,33
2022-08-20,2022,3,8,August,Saturday,33
2022-08-21,2022,3,8,August,Sunday,33
2022-08-22,2022,3,8,August,Monday,34
2022-08-23,2022,3,8,August,Tuesday,34
2022-08-24,2022,3,8,August,Wednesday,34
2022-08-25,2022,3,8,August,Thursday,34
2022-08-26,2022,3,8,August,Friday,34
2022-08-27,2022,3,8,August,Saturday,34
2022-08-28,2022,3,8,August,Sunday,34
2022-08-29,2022,3,8,August,Monday,35
2022-08-30,2022,3,8,August,Tuesday,35
2022-08-31,2022,3,8,August,Wednesday,35
2022-09-01,2022,3,9,September,Thursday,35
2022-09-02,2022,3,9,September,Friday,35
2022-09-03,2022,3,9,September,Saturday,35
2022-09-04,2022,3,9,September,Sunday,35
2022-09-05,2022,3,9,September,Monday,36
2022-09-06,2022,3,9,September,Tuesday,36
2022-09-07,2022,3,9,September,Wednesday,36
2022-09-08,2022,3,9,September,Thursday,36
2022-09-09,2022,3,9,September,Friday,36
2022-09-10,2022,3,9,September,Saturday,36
2022-09-11,2022,3,9,September,Sunday,36
2022-09-12,2022,3,9,September,Monday,37
2022-09-13,2022,3,9,September,Tuesday,37
2022-09-14,2022,3,9,September,Wednesday,37
2022-09-15,2022,3,9,September,Thursday,37
2022-09-16,2022,3,9,September,Friday,37
2022-09-17,2022,3,9,September,Saturday,37
2022-09-18,2022,3,9,September,Sunday,37
2022-09-19,2022,3,9,September,Monday,38
2022-09-20,2022,3,9,September,Tuesday,38
2022-09-21,2022,3,9,September,Wednesday,38
2022-09-22,2022,3,9,September,Thursday,38
2022-09-23,2022,3,9,September,Friday,38
2022-09-24,2022,3,9,September,Saturday,38
2022-09-25,2022,3,9,September,Sunday,38
2022-09-26,2022,3,9,September,Monday,39
2022-09-27,2022,3,9,September,Tuesday,39
2022-09-28,2022,3,9,September,Wednesday,39
2022-09-29,2022,3,9,September,Thursday,39
2022-09-30,2022,3,9,September,Friday,39
2022-10-01,2022,4,10,October,Saturday,39
2022-10-02,2022,4,10,October,Sunday,39
2022-10-03,2022,4,10,October,Monday,40
2022-10-04,2022,4,10,October,Tuesday,40
2022-10-05,2022,4,10,October,Wednesday,40
2022-10-06,2022,4,10,October,Thursday,40
2022-10-07,2022,4,10,October,Friday,40
2022-10-08,2022,4,10,October,Saturday,40
2022-10-09,2022,4,10,October,Sunday,40
2022-10-10,2022,4,10,October,Monday,41
2022-10-11,2022,4,10,October,Tuesday,41
2022-10-12,2022,4,10,October,Wednesday,41
2022-10-13,2022,4,10,October,Thursday,41
2022-10-14,2022,4,10,October,Friday,41
2022-10-15,2022,4,10,October,Saturday,41
2022-10-16,2022,4,10,October,Sunday,41
2022-10-17,2022,4,10,October,Monday,42
2022-10-18,2022,4,10,October,Tuesday,42
2022-10-19,2022,4,10,October,Wednesday,42
2022-10-20,2022,4,10,October,Thursday,42
2022-10-21,2022,4,10,October,Friday,42
2022-10-22,2022,4,10,October,Saturday,42
2022-10-23,2022,4,10,October,Sunday,42
2022-10-24,2022,4,10,October,Monday,43
2022-10-25,2022,4,10,October,Tuesday,43
2022-10-26,2022,4,10,October,Wednesday,43
2022-10-27,2022,4,10,October,Thursday,43
2022-10-28,2022,4,10,October,Friday,43
2022-10-29,2022,4,10,October,Saturday,43
2022-10-30,2022,4,10,October,Sunday,43
2022-10-31,2022,4,10,October,Monday,44
2022-11-01,2022,4,11,November,Tuesday,44
2022-11-02,2022,4,11,November,Wednesday,44
2022-11-03,2022,4,11,November,Thursday,44
2022-11-04,2022,4,11,November,Friday,44
2022-11-05,2022,4,11,November,Saturday,44
2022-11-06,2022,4,11,November,Sunday,44
2022-11-07,2022,4,11,November,Monday,45
2022-11-08,2022,4,11,November,Tuesday,45
2022-11-09,2022,4,11,November,Wednesday,45
2022-11-10,2022,4,11,November,Thursday,45
2022-11-11,2022,4,11,November,Friday,45
2022-11-12,2022,4,11,November,Saturday,45
2022-11-13,2022,4,11,November,Sunday,45
2022-11-14,2022,4,11,November,Monday,46
2022-11-15,2022,4,11,November,Tuesday,46
2022-11-16,2022,4,11,November,Wednesday,46
2022-11-17,2022,4,11,November,Thursday,46
2022-11-18,2022,4,11,November,Friday,46
2022-11-19,2022,4,11,November,Saturday,46
2022-11-20,2022,4,11,November,Sunday,46
2022-11-21,2022,4,11,November,Monday,47
2022-11-22,2022,4,11,November,Tuesday,47
2022-11-23,2022,4,11,November,Wednesday,47
2022-11-24,2022,4,11,November,Thursday,47
2022-11-25,2022,4,11,November,Friday,47
2022-11-26,2022,4,11,November,Saturday,47
2022-11-27,2022,4,11,November,Sunday,47
2022-11-28,2022,4,11,November,Monday,48
2022-11-29,2022,4,11,November,Tuesday,48
2022-11-30,2022,4,11,November,Wednesday,48
2022-12-01,2022,4,12,December,Thursday,48
2022-12-02,2022,4,12,December,Friday,48
2022-12-03,2022,4,12,December,Saturday,48
2022-12-04,2022,4,12,December,Sunday,48
2022-12-05,2022,4,12,December,Monday,49
2022-12-06,2022,4,12,December,Tuesday,49
2022-12-07,2022,4,12,December,Wednesday,49
2022-12-08,2022,4,12,December,Thursday,49
2022-12-09,2022,4,12,December,Friday,49
2022-12-10,2022,4,12,December,Saturday,49
2022-12-11,2022,4,12,December,Sunday,49
2022-12-12,2022,4,12,December,Monday,50
2022-12-13,2022,4,12,December,Tuesday,50
2022-12-14,2022,4,12,December,Wednesday,50
2022-12-15,2022,4,12,December,Thursday,50
2022-12-16,2022,4,12,December,Friday,50
2022-12-17,2022,4,12,December,Saturday,50
2022-12-18,2022,4,12,December,Sunday,50
2022-12-19,2022,4,12,December,Monday,51
2022-12-20,2022,4,12,December,Tuesday,51
2022-12-21,2022,4,12,December,Wednesday,51
2022-12-22,2022,4,12,December,Thursday,51
2022-12-23,2022,4,12,December,Friday,51
2022-12-24,2022,4,12,December,Saturday,51
2022-12-25,2022,4,12,December,Sunday,51
2022-12-26,2022,4,12,December,Monday,52
2022-12-27,2022,4,12,December,Tuesday,52
2022-12-28,2022,4,12,December,Wednesday,52
2022-12-29,2022,4,12,December,Thursday,52
2022-12-30,2022,4,12,December,Friday,52
2022-12-31,2022,4,12,December,Saturday,52
2023-01-01,2023,1,1,January,Sunday,52
2023-01-02,2023,1,1,January,Monday,1
2023-01-03,2023,1,1,January,Tuesday,1
2023-01-04,2023,1,1,January,Wednesday,1
2023-01-05,2023,1,1,January,Thursday,1
2023-01-06,2023,1,1,January,Friday,1
2023-01-07,2023,1,1,January,Saturday,1
2023-01-08,2023,1,1,January,Sunday,1
2023-01-09,2023,1,1,January,Monday,2
2023-01-10,2023,1,1,January,Tuesday,2
2023-01-11,2023,1,1,January,Wednesday,2
2023-01-12,2023,1,1,January,Thursday,2
2023-01-13,2023,1,1,January,Friday,2
2023-01-14,2023,1,1,January,Saturday,2
2023-01-15,2023,1,1,January,Sunday,2
2023-01-16,2023,1,1,January,Monday,3
2023-01-17,2023,1,1,January,Tuesday,3
2023-01-18,2023,1,1,January,Wednesday,3
2023-01-19,2023,1,1,January,Thursday,3
2023-01-20,2023,1,1,January,Friday,3
2023-01-21,2023,1,1,January,Saturday,3
2023-01-22,2023,1,1,January,Sunday,3
2023-01-23,2023,1,1,January,Monday,4
2023-01-24,2023,1,1,January,Tuesday,4
2023-01-25,2023,1,1,January,Wednesday,4
2023-01-26,2023,1,1,January,Thursday,4
2023-01-27,2023,1,1,January,Friday,4
2023-01-28,2023,1,1,January,Saturday,4
2023-01-29,2023,1,1,January,Sunday,4
2023-01-30,2023,1,1,January,Monday,5
2023-01-31,2023,1,1,January,Tuesday,5
2023-02-01,2023,1,2,February,Wednesday,5
2023-02-02,2023,1,2,February,Thursday,5
2023-02-03,2023,1,2,February,Friday,5
2023-02-04,2023,1,2,February,Saturday,5
